,Security,Symbol,GICS Sector,GICS Sub Industry
445,Torchmark Corp.,TMK,Financials,Life & Health Insurance
446,Total System Services,TSS,Information Technology,Internet Software & Services
447,Tractor Supply Company,TSCO,Consumer Discretionary,Specialty Stores
448,TransDigm Group,TDG,Industrials,Aerospace & Defense
449,The Travelers Companies Inc.,TRV,Financials,Property & Casualty Insurance
450,TripAdvisor,TRIP,Communication Services,Interactive Media & Services
451,Twenty-First Century Fox Class A,FOXA,Communication Services,Movies & Entertainment
452,Twenty-First Century Fox Class B,FOX,Communication Services,Movies & Entertainment
453,Tyson Foods,TSN,Consumer Staples,Packaged Foods & Meats
454,UDR Inc,UDR,Real Estate,Residential REITs
455,Ulta Beauty,ULTA,Consumer Discretionary,Specialty Stores
456,U.S. Bancorp,USB,Financials,Diversified Banks
457,Under Armour Class A,UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
458,Under Armour Class C,UA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
459,Union Pacific,UNP,Industrials,Railroads
460,United Continental Holdings,UAL,Industrials,Airlines
461,United Health Group Inc.,UNH,Health Care,Managed Health Care
462,United Parcel Service,UPS,Industrials,Air Freight & Logistics
463,"United Rentals, Inc.",URI,Industrials,Trading Companies & Distributors
464,United Technologies,UTX,Industrials,Aerospace & Defense
465,"Universal Health Services, Inc.",UHS,Health Care,Health Care Facilities
466,Unum Group,UNM,Financials,Life & Health Insurance
467,V.F. Corp.,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
468,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
469,Varian Medical Systems,VAR,Health Care,Health Care Equipment
470,Ventas Inc,VTR,Real Estate,Health Care REITs
471,Verisign Inc.,VRSN,Information Technology,Internet Services & Infrastructure
472,Verisk Analytics,VRSK,Industrials,Research & Consulting Services
473,Verizon Communications,VZ,Communication Services,Integrated Telecommunication Services
474,Vertex Pharmaceuticals Inc,VRTX,Health Care,Biotechnology
475,Viacom Inc.,VIAB,Communication Services,Movies & Entertainment
476,Visa Inc.,V,Information Technology,IT Services
477,Vornado Realty Trust,VNO,Real Estate,Office REITs
478,Vulcan Materials,VMC,Materials,Construction Materials
479,Wabtec Corporation,WAB,Industrials,Construction Machinery & Heavy Trucks
480,Walmart,WMT,Consumer Staples,Hypermarkets & Super Centers
481,Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
482,The Walt Disney Company,DIS,Communication Services,Movies & Entertainment
483,Waste Management Inc.,WM,Industrials,Environmental & Facilities Services
484,Waters Corporation,WAT,Health Care,Health Care Distributors
485,Wec Energy Group Inc,WEC,Utilities,Electric Utilities
486,WellCare,WCG,Health Care,Managed Health Care
487,Wells Fargo,WFC,Financials,Diversified Banks
488,Welltower Inc.,WELL,Real Estate,Health Care REITs
489,Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
490,Western Union Co,WU,Information Technology,Internet Software & Services
491,WestRock,WRK,Materials,Paper Packaging
492,Weyerhaeuser,WY,Real Estate,Specialized REITS
493,Whirlpool Corp.,WHR,Consumer Discretionary,Household Appliances
494,Williams Cos.,WMB,Energy,Oil & Gas Storage & Transportation
495,Willis Towers Watson,WLTW,Financials,Insurance Brokers
496,Wynn Resorts Ltd,WYNN,Consumer Discretionary,Casinos & Gaming
497,Xcel Energy Inc,XEL,Utilities,Multi-Utilities
498,Xerox,XRX,Information Technology,"Technology Hardware, Storage & Peripherals"
499,Xilinx,XLNX,Information Technology,Semiconductors
500,Xylem Inc.,XYL,Industrials,Industrial Machinery
501,Yum! Brands Inc,YUM,Consumer Discretionary,Restaurants
502,Zimmer Biomet Holdings,ZBH,Health Care,Health Care Equipment
503,Zions Bancorp,ZION,Financials,Regional Banks
504,Zoetis,ZTS,Health Care,Pharmaceuticals
505,Aaron's Inc.,AAN,Consumer Discretionary,Home Furnishing Retail
506,Applied Optoelect,AAOI,Information Technology,Communications Equipment
507,AAON Inc,AAON,Industrials,Building Products
508,American Assets Trust,AAT,Real Estate,Diversified REITs
509,Atlas Air Worldwide Holdings,AAWW,Industrials,Air Freight and Logistics
510,Axon Inc,AAXN,Industrials,Aerospace and Defense
511,Ameris Bancorp,ABCB,Financials,Regional Banks
512,Asbury Automotive Group Inc,ABG,Customer Discretionary,Automotive Retail
513,ABM Industries Incorporated,ABM,Industrials,Environmental and Facilities Services
514,American Campus Communities,ACC,Real Estate,Residential REITs
515,Aceto Cp,ACET,Health Care,Healthcare Distributors
516,Acadia Healthcare,ACHC,Health Care,Health Care Facilities
517,ACI Worldwide,ACIW,Information Technology,Application Software
518,Axcelis Tech Inc,ACLS,Information Technology,Semiconductor Equipment
519,AECOM,ACM,Industrials,Construction & Engineering
520,Acorda Therapeutics,ACOR,Health Care,Biotechnology
521,"LiveRamp Holdings, Inc (formerly Acxiom)",ACXM,Information Technology,Application Software
522,Agree Realty Corp,ADC,Real Estate,Retail REITs
523,Adient plc,ADNT,Consumer Discretionary,Auto Parts and Equipment
524,Adtran Inc,ADTN,Information Technology,Communications Equipment
525,Aegion Corp,AEGN,Industrials,Construction and Engineering
526,Advanced Energy,AEIS,Information Technology,Semiconductor Equipment
527,American Equity Investment Life,AEL,Financials,Life and Health Insurance
528,American Eagle Outfitters,AEO,Consumer Discretionary,Apparel Retail
529,American Financial Group,AFG,Financials,Multi-line Insurance
530,AGCO,AGCO,Industrials,Construction & Farm Equipment & Heavy Trucks
531,Agilysys Inc,AGYS,Information Technology,Application Software
532,Armada Hoffler Properties Inc,AHH,Real Estate,Diversified REITs
533,Aspen Insurance Holdings Ltd,AHL,Financials,Property and Casualty Insurance
534,Albany International Corp,AIN,Industrials,Industrial Machinery
535,AAR Corp,AIR,Industrials,Aerospace and Defense
536,Applied Industrial Technologies,AIT,Industrials,Trading Companies and Distributors
537,Aerojet Rocketdyne Holdings,AJRD,Industrials,Aerospace and Defense
538,Acadia Realty Trust,AKR,Real Estate,Retail REITs
539,Akorn,AKRX,Health Care,Pharmaceuticals
540,AK Steel Holding Corp,AKS,Materials,Steel
541,ALLETE Inc.,ALE,Utilities,Electric Utilities
542,Alexander & Baldwin,ALEX,Real Estate,Diversified Real Estate Activities
543,Alamo Group,ALG,Industrials,Construction Machinery and Heavy Trucks
544,Allegiant Travel Company,ALGT,Industrials,Airlines
545,AlarmCom Hldg Inc,ALRM,Financials,Internet Software and Services
546,Amag Pharmaceuticals,AMAG,Health Care,Biotechnology
547,Ambac Financial Group,AMBC,Financials,Property and Casualty Insurance
548,AMC Networks,AMCX,Consumer Discretionary,Cable & Satellite
549,Amedisys Inc,AMED,Health Care,Healthcare Services
550,Amn Healthcare Services Inc,AMN,Health Care,Healthcare Services
551,Amphastar Pharma,AMPH,Health Care,Pharmaceuticals
552,Amerisafe Inc,AMSF,Financials,Property and Casualty Insurance
553,Amer Woodmark Corporation,AMWD,Industrials,Building Products
554,AutoNation,AN,Consumer Discretionary,Automotive Retail
555,Andersons Inc,ANDE,Consumer Staples,Food Distributors
556,Abercrombie & Fitch Company,ANF,Consumer Discretionary,Apparel Retail
557,Angiodynamics Inc,ANGO,Health Care,Healthcare Equipment
558,Anika Therapeutics,ANIK,Health Care,Healthcare Supplies
559,ANI Pharma Inc,ANIP,Health Care,Pharmaceuticals
560,American Pub. Edu.,APEI,Consumer Discretionary,Education Services
561,Apogee Entrpr Inc,APOG,Industrials,Building Products
562,Apergy Corp.,APY,Energy,Oil & Gas Equipment & Services
563,Arcbest Corp,ARCB,Industrials,Trucking
564,Apollo Commercial Real Estate,ARI,Real Estate,Mortgage REITs
565,Archrock Inc,AROC,Energy,Oil and Gas Equipment and Services
566,Armour Residential R,ARR,Real Estate,Mortgage REITs
567,Arris International,ARRS,Information Technology,Communications Equipment
568,Arrow Electronics,ARW,Information Technology,Technology Distributors
569,Associated Banc-Corp,ASB,Financials,Regional Banks
570,On Assignment,ASGN,Industrials,Human Resource and Employment Services
571,Ashland Inc.,ASH,Materials,Diversified Chemicals
572,Advansix Inc,ASIX,Materials,Commodity Chemicals
573,Ascena Retail Grp,ASNA,Consumer Discretionary,Apparel Retail
574,"Assertio Therapeutics, Inc",ASRT,Health Care,Pharmaceuticals
575,Astec Inds Inc,ASTE,Industrials,Construction Machinery and Heavy Trucks
576,Adtalem Global Education,ATGE,Consumer Discretionary,Education Services
577,Allegheny Technologies,ATI,Materials,Steel
578,ATN International Inc,ATNI,Telecommunication Services,Integrated Telecommunication Services
579,Atmos Energy,ATO,Utilities,Gas Utilities
580,AptarGroup Inc,ATR,Materials,Metal & Glass Containers
581,Actuant Corporation,ATU,Industrials,Industrial Machinery
582,Avista Corporation,AVA,Utilities,Multi-Utilities
583,AeroVironment Inc,AVAV,Industrials,Aerospace and Defense
584,American Vanguard Corporation,AVD,Materials,Fertilizer and Agricultural Chemicals
585,Avanos Medical Inc,AVNS,Health Care,Healthcare Supplies
586,Avon Products Inc,AVP,Consumer Staples,Personal Products
587,Avnet,AVT,Information Technology,Technology Distributors
588,American States Water Company,AWR,Utilities,Water Utilities
589,Anixter International Inc.,AXE,Information Technology,Technology Distributors
590,"American Axle & Manufacturing Holdings, Inc.",AXL,Consumer Discretionary,Auto Parts and Equipment
591,Acuity Brands,AYI,Industrials,Electrical Components & Equipment
592,AZZ Inc.,AZZ,Industrials,Heavy Electrical Equipment
593,Barnes Group Inc.,B,Industrials,Industrial Machinery
594,Natus Medical Incorporated,BABY,Health Care,Healthcare Equipment
595,"Banc Of California, Inc.",BANC,Financials,Regional Banks
596,Banner Corporation,BANR,Financials,Regional Banks
597,Bed Bath & Beyond,BBBY,Consumer Discretionary,Homefurnishing Retail
598,Brunswick Corporation,BC,Consumer Discretionary,Leisure Products
599,Boise Cascade Company,BCC,Materials,Forest Products
600,"Bonanza Creek Energy, Inc.",BCEI,Energy,Oil and Gas Exploration and Production
601,Brink's Company (The),BCO,Industrials,Security & Alarm Services
602,"Blucora, Inc.",BCOR,Financials,Asset Management and Custody Banks
603,Balchem Corporation,BCPC,Materials,Specialty Chemicals
604,Belden Inc,BDC,Information Technology,Electronic Components
605,"BioTelemetry, Inc.",BEAT,Health Care,Healthcare Services
606,Belmond Ltd.,BEL,Consumer Discretionary,"Hotels, Resorts and Cruise Lines"
607,Bel Fuse Inc.,BELFB,Information Technology,Electronic Components
608,"Saul Centers, Inc.",BFS,Real Estate,Retail REITs
609,Big 5 Sporting Goods Corp,BGFV,Consumer Discretionary,Specialty Stores
610,Briggs & Stratton Corporation,BGG,Industrials,Industrial Machinery
611,"B&G Foods, Inc.",BGS,Consumer Staples,Packaged Foods and Meats
612,"Benchmark Electronics, Inc.",BHE,Information Technology,Electronic Manufacturing Services
613,"Berkshire Hills Bancorp, Inc.",BHLB,Financials,Regional Banks
614,Sotheby's,BID,Consumer Discretionary,Diversified Consumer Services
615,Big Lots,BIG,Consumer Discretionary,General Merchandise Stores
616,Bio-Rad Laboratories,BIO,Health Care,Life Sciences Tools & Services
617,"BJ's Restaurants, Inc.",BJRI,Consumer Discretionary,Restaurants
618,"The Buckle, Inc.",BKE,Consumer Discretionary,Apparel Retail
619,Black Hills Corporation,BKH,Utilities,Multi-Utilities
620,"Barnes & Noble, Inc.",BKS,Consumer Discretionary,Specialty Stores
621,TopBuild Corp.,BLD,Consumer Discretionary,Homebuilding
622,Blackbaud,BLKB,Information Technology,Application Software
623,"Badger Meter, Inc.",BMI,Information Technology,Electronic Equipment and Instruments
624,Bemis Company,BMS,Materials,Paper Packaging
625,"Barnes & Noble Education, Inc.",BNED,Consumer Discretionary,Specialty Stores
626,"Axos Financial, Inc.",BOFI,Financials,Thrifts and Mortgage Finance
627,Bank of Hawaii,BOH,Financials,Regional Banks
628,"Boston Private Financial Holdings, Inc.",BPFH,Financials,Regional Banks
629,Brady Corporation,BRC,Industrials,Commercial Printing
630,"Brookline Bancorp, Inc.",BRKL,Financials,Regional Banks
631,"Brooks Automation, Inc.",BRKS,Information Technology,Semiconductor Equipment
632,Brown & Brown,BRO,Financials,Insurance Brokers
633,Bristow Group Inc.,BRS,Energy,Oil and Gas Equipment and Services
634,BancorpSouth,BXS,Financials,Regional Banks
635,Boyd Gaming,BYD,Consumer Discretionary,Casinos & Gaming
636,Cable One Inc,CABO,Consumer Discretionary,Cable & Satellite
637,CACI International Inc,CACI,Information Technology,IT Consulting and Other Services
638,Cheesecake Factory Inc,CAKE,Consumer Discretionary,Restaurants
639,"Caleres, Inc.",CAL,Consumer Discretionary,Apparel Retail
640,"Cal-Maine Foods, Inc.",CALM,Consumer Staples,Packaged Foods and Meats
641,CalAmp Corp.,CAMP,Information Technology,Communications Equipment
642,Avis Budget Group,CAR,Industrials,Trucking
643,Cars.com Inc,CARS,Information Technology,Internet Software & Services
644,"Meta Financial Group, Inc.",CASH,Financials,Thrifts and Mortgage Finance
645,Casey's General Stores,CASY,Consumer Staples,Food Retail
646,Cardtronics plc,CATM,Information Technology,Data Processing and Outsourced Services
647,The Cato Corporation,CATO,Consumer Discretionary,Apparel Retail
648,Cathay General Bancorp,CATY,Financials,Regional Banks
649,Cincinnati Bell Inc.,CBB,Telecommunication Services,Integrated Telecommunication Services
650,"CBL & Associates Properties, Inc",CBL,Real Estate,Retail REITs
651,Cambrex Corporation,CBM,Health Care,Life Sciences Tools and Services
652,Cracker Barrel,CBRL,Consumer Discretionary,Restaurants
653,Commerce Bancshares,CBSH,Financials,Regional Banks
654,Cabot Corp,CBT,Materials,Diversified Chemicals
655,"Community Bank System, Inc.",CBU,Financials,Regional Banks
656,Chemours,CC,Materials,Diversified Chemicals
657,Cabot Microelectronics Corporation,CCMP,Information Technology,Semiconductor Equipment
658,"Cogent Communications Holdings, Inc.",CCOI,Telecommunication Services,Alternative Carriers
659,"Cross Country Healthcare, Inc.",CCRN,Health Care,Healthcare Services
660,CDK Global Inc,CDK,Information Technology,Application Software
661,"Cedar Realty Trust, Inc.",CDR,Real Estate,Retail REITs
662,Career Education Corporation,CECO,Consumer Discretionary,Education Services
663,CONSOL Energy Inc.,CEIX,Energy,Coal and Consumable Fuels
664,Central Garden & Pet Company,CENT,Consumer Staples,Household Products
665,Central Garden & Pet Company,CENTA,Consumer Staples,Household Products
666,Century Aluminum Company,CENX,Materials,Aluminum
667,"CEVA, Inc.",CEVA,Information Technology,Semiconductors
668,Cullen/Frost Bankers Inc,CFR,Financials,Regional Banks
669,Cognex Corporation,CGNX,Information Technology,Electronic Equipment & Instruments
670,City Holding Company,CHCO,Financials,Regional Banks
671,Community Healthcare Trust Incorporated,CHCT,Health Care,Healthcare REITs
672,Churchill Downs Inc,CHDN,Consumer Discretionary,Casinos & Gaming
673,Chemed Corp.,CHE,Health Care,Health Care Services
674,Chemical Financial Corp,CHFC,Financials,Regional Banks
675,Chesapeake Energy,CHK,Energy,Oil & Gas Exploration & Production
676,"Chico's FAS, Inc.",CHS,Consumer Discretionary,Apparel Retail
677,Chesapeake Lodging Trust,CHSP,Real Estate,Hotel and Resort REITs
678,"Chuy's Holdings, Inc.",CHUY,Consumer Discretionary,Restaurants
679,Ciena Corp,CIEN,Information Technology,Communications Equipment
680,"CIRCOR International, Inc.",CIR,Industrials,Industrial Machinery
681,"C&J Energy Services, Inc.",CJ,Energy,Oil and Gas Equipment and Services
682,SEACOR Holdings Inc.,CKH,Energy,Oil and Gas Equipment and Services
683,Core Laboratories,CLB,Energy,Oil & Gas Equipment & Services
684,Cloud Peak Energy Inc.,CLD,Energy,Coal and Consumable Fuels
685,Chatham Lodging Trust,CLDT,Real Estate,Hotel and Resort REITs
686,CoreLogic,CLGX,Information Technology,Data Processing & Outsourced Services
687,Clean Harbors Inc,CLH,Industrials,Environmental & Facilities Services
688,Mack-Cali Realty Corporation,CLI,Real Estate,Office REITs
689,Clearwater Paper Corporation,CLW,Materials,Paper Products
690,Commercial Metals Company,CMC,Materials,Steel
691,Cantel Medical Corporation,CMD,Health Care,Health Care Equipment
692,Capstead Mortgage Corporation,CMO,Real Estate,Mortgage REITs
693,Compass Minerals International Inc.,CMP,Materials,Diversified Metals & Mining
694,Comtech Telecommunications Corp.,CMTL,Information Technology,Communications Equipment
695,Cinemark Holdings Inc,CNK,Consumer Discretionary,Movies & Entertainment
696,CONMED Corporation,CNMD,Health Care,Healthcare Equipment
697,CNO Financial Group,CNO,Financials,Life & Health Insurance
698,"Consolidated Communications Holdings, Inc.",CNSL,Telecommunication Services,Integrated Telecommunication Services
699,CNX Resources Corp,CNX,Energy,Oil & Gas Exploration & Production
700,"Coherent, Inc.",COHR,Information Technology,Electronic Equipment & Instruments
701,"Cohu, Inc.",COHU,Information Technology,Semiconductor Equipment
702,Coca-Cola Bottling Co. Consolidated,COKE,Consumer Staples,Soft Drinks
703,"Columbia Banking System, Inc.",COLB,Financials,Regional Banks
704,CyrusOne,CONE,Real Estate,Specialized REITs
705,CoreSite Realty,COR,Real Estate,Specialized REITs
706,"Core-Mark Holding Company, Inc.",CORE,Consumer Discretionary,Distributors
707,Corcept Therapeutics Incorporated,CORT,Health Care,Pharmaceuticals
708,Callon Petroleum,CPE,Energy,Oil & Gas Exploration & Production
709,Central Pacific Financial Corp.,CPF,Financials,Regional Banks
710,Cooper-Standard Holdings Inc.,CPS,Consumer Discretionary,Auto Parts and Equipment
711,"Computer Programs and Systems, Inc.",CPSI,Health Care,Health Care Technology
712,Camden Property Trust,CPT,Real Estate,Residential REITs
713,Crane Co.,CR,Industrials,Industrial Machinery
714,Cray Inc.,CRAY,Information Technology,"Technology Hardware, Storage and Peripherals"
715,Cree Inc,CREE,Information Technology,Semiconductors
716,"Carter's, Inc.",CRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
717,Charles River Laboratories,CRL,Health Care,Life Sciences Tools & Services
718,"Crocs, Inc.",CROX,Consumer Discretionary,Footwear
719,CARBO Ceramics Inc.,CRR,Energy,Oil and Gas Equipment and Services
720,Carpenter Technology,CRS,Materials,Steel
721,Cirrus Logic Inc,CRUS,Information Technology,Semiconductors
722,CorVel Corporation,CRVL,Health Care,Healthcare Services
723,"CryoLife, Inc.",CRY,Health Care,Healthcare Equipment
724,"Carrizo Oil & Gas, Inc.",CRZO,Energy,Oil and Gas Exploration and Production
725,"CSG Systems International, Inc.",CSGS,Information Technology,Data Processing and Outsourced Services
726,Carlisle Companies Inc.,CSL,Industrials,Industrial Conglomerates
727,Cooper Tire & Rubber Company,CTB,Consumer Discretionary,Tires and Rubber
728,Catalent Inc,CTLT,Health Care,Pharmaceuticals
729,"CareTrust REIT, Inc.",CTRE,Real Estate,Healthcare REITs
730,Control4 Corporation,CTRL,Information Technology,Electronic Equipment and Instruments
731,CTS Corporation,CTS,Information Technology,Electronic Manufacturing Services
732,Cubic Corporation,CUB,Industrials,Aerospace and Defense
733,"Customers Bancorp, Inc.",CUBI,Financials,Regional Banks
734,"Cutera, Inc.",CUTR,Health Care,Healthcare Equipment
735,Cousins Properties Inc,CUZ,Real Estate,Office REITs
736,CVB Financial Corp.,CVBF,Financials,Regional Banks
737,"Cavco Industries, Inc.",CVCO,Consumer Discretionary,Homebuilding
738,Convergys Corp,CVG,Information Technology,Data Processing & Outsourced Services
739,"Calavo Growers, Inc.",CVGW,Consumer Staples,Packaged Foods and Meats
740,CommVault Systems,CVLT,Information Technology,Systems Software
741,Curtiss-Wright Corp,CW,Industrials,Aerospace & Defense
742,California Water Service Group,CWT,Utilities,Water Utilities
743,CoreCivic,CXW,Real Estate,Diversified REITs
744,Cypress Semiconductor Corp,CY,Information Technology,Semiconductors
745,"Community Health Systems, Inc.",CYH,Health Care,Healthcare Facilities
746,"Cytokinetics, Incorporated",CYTK,Health Care,Biotechnology
747,"Daktronics, Inc.",DAKT,Information Technology,Electronic Equipment and Instruments
748,Dana Incorporated,DAN,Consumer Discretionary,Auto Parts & Equipment
749,Darling Ingredients Inc.,DAR,Consumer Staples,Agricultural Products
750,"Diebold Nixdorf, Incorporated",DBD,Information Technology,"Technology Hardware, Storage and Peripherals"
751,Donaldson Co,DCI,Industrials,Industrial Machinery
752,"Dime Community Bancshares, Inc.",DCOM,Financials,Thrifts and Mortgage Finance
753,3D Systems Corporation,DDD,Information Technology,"Technology Hardware, Storage and Peripherals"
754,Dillard's Inc,DDS,Consumer Discretionary,Department Stores
755,"Easterly Government Properties, Inc.",DEA,Real Estate,Office REITs
756,Deckers Outdoor Corporation,DECK,Consumer Discretionary,Footwear
757,"Douglas Emmett, Inc.",DEI,Real Estate,Office REITs
758,Dean Foods Company,DF,Consumer Staples,Packaged Foods and Meats
759,"Donnelley Financial Solutions, Inc.",DFIN,Financials,Financial Exchanges and Data
760,Digi International Inc.,DGII,Information Technology,Communications Equipment
761,"Dine Brands Global, Inc.",DIN,Consumer Discretionary,Restaurants
762,Diodes Incorporated,DIOD,Information Technology,Semiconductors
763,Dick's Sporting Goods Inc,DKS,Consumer Discretionary,Specialty Stores
764,Delphi Technologies PLC,DLPH,Consumer Discretionary,Auto Parts & Equipment
765,Deluxe Corporation,DLX,Industrials,Commercial Printing
766,Dun & Bradstreet Corp,DNB,Industrials,Research & Consulting Services
767,Dunkin' Brands Group Inc,DNKN,Consumer Discretionary,Restaurants
768,NOW Inc,DNOW,Industrials,Trading Companies & Distributors
769,Denbury Resources Inc.,DNR,Energy,Oil and Gas Exploration and Production
770,Diamond Offshore Drilling,DO,Energy,Oil & Gas Drilling
771,"Dorman Products, Inc.",DORM,Consumer Discretionary,Auto Parts and Equipment
772,"Diplomat Pharmacy, Inc.",DPLO,Health Care,Healthcare Services
773,Domino's Pizza Inc,DPZ,Consumer Discretionary,Restaurants
774,DiamondRock Hospitality Company,DRH,Real Estate,Hotel and Resort REITs
775,Dril-Quip,DRQ,Energy,Oil & Gas Equipment & Services
776,"DSP Group, Inc.",DSPG,Information Technology,Semiconductors
777,DSW Inc.,DSW,Consumer Discretionary,Apparel Retail
778,"DXP Enterprises, Inc.",DXPE,Industrials,Trading Companies and Distributors
779,Dycom Industries Inc,DY,Industrials,Construction & Engineering
780,Brinker International Inc,EAT,Consumer Discretionary,Restaurants
781,"Ebix, Inc.",EBIX,Information Technology,Application Software
782,Emergent BioSolutions Inc.,EBS,Health Care,Biotechnology
783,"Echo Global Logistics, Inc.",ECHO,Industrials,Air Freight and Logistics
784,"US Ecology, Inc.",ECOL,Industrials,Environmental and Facilities Services
785,"Encore Capital Group, Inc.",ECPG,Financials,Consumer Finance
786,Education Realty Trust Inc.,EDR,Real Estate,Residential REITs
787,El Paso Electric Company,EE,Utilities,Electric Utilities
788,"Electronics for Imaging, Inc.",EFII,Information Technology,"Technology Hardware, Storage and Peripherals"
789,"8x8, Inc.",EGHT,Information Technology,Application Software
790,"Engility Holdings, Inc.",EGL,Industrials,Aerospace and Defense
791,Energen,EGN,Energy,Oil & Gas Exploration & Production
792,NIC Inc.,EGOV,Information Technology,Data Processing and Outsourced Services
793,"EastGroup Properties, Inc.",EGP,Real Estate,Industrial REITs
794,"Eagle Pharmaceuticals, Inc.",EGRX,Health Care,Biotechnology
795,Encompass Health Corp.,EHC,Health Care,Health Care Facilities
796,"eHealth, Inc.",EHTH,Financials,Insurance Brokers
797,"Employers Holdings, Inc.",EIG,Financials,Property and Casualty Insurance
798,Callaway Golf Company,ELY,Consumer Discretionary,Leisure Products
799,Emcor,EME,Industrials,Construction & Engineering
800,Endo International plc,ENDP,Health Care,Pharmaceuticals
801,Energizer Holdings Inc,ENR,Consumer Staples,Household Products
802,EnerSys,ENS,Industrials,Electrical Components & Equipment
803,"The Ensign Group, Inc.",ENSG,Health Care,Healthcare Facilities
804,"Enanta Pharmaceuticals, Inc.",ENTA,Health Care,Biotechnology
805,"Enova International, Inc.",ENVA,Financials,Consumer Finance
806,"Bottomline Technologies (de), Inc.",EPAY,Information Technology,Application Software
807,Edgewell Personal Care Company,EPC,Consumer Staples,Household Products
808,EPR Properties,EPR,Real Estate,Specialized REITs
809,Era Group Inc.,ERA,Energy,Oil and Gas Equipment and Services
810,"Eldorado Resorts, Inc.",ERI,Consumer Discretionary,Casinos and Gaming
811,ESCO Technologies Inc.,ESE,Industrials,Industrial Machinery
812,"Electro Scientific Industries, Inc.",ESIO,Information Technology,Electronic Equipment and Instruments
813,Esterline Technologies,ESL,Industrials,Aerospace & Defense
814,Essendant Inc.,ESND,Industrials,Office Services and Supplies
815,EnscoRowan,ESV,Energy,Oil & Gas Drilling
816,Ethan Allen Interiors Inc.,ETH,Consumer Discretionary,Home Furnishings
817,Eaton Vance Corp,EV,Financials,Asset Management & Custody Banks
818,Evercore,EVR,Financials,Investment Banking & Brokerage
819,"EVERTEC, Inc.",EVTC,Information Technology,Data Processing and Outsourced Services
820,East West Bancorp Inc,EWBC,Financials,Regional Banks
821,Exelixis,EXEL,Health Care,Biotechnology
822,"ExlService Holdings, Inc.",EXLS,Information Technology,Data Processing and Outsourced Services
823,Eagle Materials Inc,EXP,Materials,Construction Materials
824,"Exponent, Inc.",EXPO,Industrials,Research and Consulting Services
825,"Express, Inc.",EXPR,Consumer Discretionary,Apparel Retail
826,Exterran Corporation,EXTN,Energy,Oil and Gas Equipment and Services
827,"Extreme Networks, Inc.",EXTR,Information Technology,Communications Equipment
828,"EZCORP, Inc.",EZPW,Financials,Consumer Finance
829,First American Financial Corp,FAF,Financials,Property & Casualty Insurance
830,"FARO Technologies, Inc.",FARO,Information Technology,Electronic Equipment and Instruments
831,First BanCorp,FBP,Financials,Regional Banks
832,First Commonwealth Financial Corporation,FCF,Financials,Regional Banks
833,"FirstCash, Inc.",FCFS,Financials,Consumer Finance
834,"FTI Consulting, Inc.",FCN,Industrials,Research and Consulting Services
835,"Four Corners Property Trust, Inc.",FCPT,Real Estate,Specialized REITs
836,FactSet Research Systems Inc,FDS,Financials,Financial Exchanges & Data
837,"Franklin Electric Co., Inc.",FELE,Industrials,Industrial Machinery
838,FutureFuel Corp.,FF,Materials,Specialty Chemicals
839,First Financial Bancorp.,FFBC,Financials,Regional Banks
840,"First Financial Bankshares, Inc.",FFIN,Financials,Regional Banks
841,First Horizon National Corp,FHN,Financials,Regional Banks
842,Fair Isaac Corporation,FICO,Information Technology,Application Software
843,Federated Investors,FII,Financials,Asset Management & Custody Banks
844,Five Below,FIVE,Consumer Discretionary,Specialty Stores
845,"Comfort Systems USA, Inc.",FIX,Industrials,Construction and Engineering
846,Flowers Foods Inc.,FLO,Consumer Staples,Packaged Foods & Meats
847,"SPX FLOW, Inc.",FLOW,Industrials,Industrial Machinery
848,"First Midwest Bancorp, Inc.",FMBI,Financials,Regional Banks
849,Fabrinet,FN,Information Technology,Electronic Manufacturing Services
850,First Industrial Realty Trust,FR,Real Estate,Industrial REITs
851,FNB Corporation,FNB,Financials,Regional Banks
852,Finisar Corporation,FNSR,Information Technology,Communications Equipment
853,"FormFactor, Inc.",FORM,Information Technology,Semiconductor Equipment
854,"Forrester Research, Inc.",FORR,Industrials,Research and Consulting Services
855,"Fossil Group, Inc.",FOSL,Consumer Discretionary,"Apparel, Accessories and Luxury Goods"
856,Fox Factory Holding Corp.,FOXF,Consumer Discretionary,Auto Parts and Equipment
857,"First Industrial Realty Trust, Inc.",FR,Real Estate,Industrial REITs
858,Francesca's Holdings Corporation,FRAN,Consumer Discretionary,Apparel Retail
859,"Fiesta Restaurant Group, Inc.",FRGI,Consumer Discretionary,Restaurants
860,"Franklin Financial Network, Inc.",FSB,Financials,Regional Banks
861,First Solar,FSLR,Information Technology,Semiconductors
862,Franklin Street Properties Corp.,FSP,Real Estate,Office REITs
863,Federal Signal Corporation,FSS,Industrials,Construction Machinery and Heavy Trucks
864,"FTD Companies, Inc.",FTD,Consumer Discretionary,Internet and Direct Marketing Retail
865,"Flotek Industries, Inc.",FTK,Materials,Specialty Chemicals
866,Fortinet,FTNT,Information Technology,Systems Software
