,Security,Symbol,GICS Sector,GICS Sub Industry,Ticker,Price,Shares Outstanding,Market Cap,Expected Growth - 5 Year,Last 12 Month Return,Beta,Avg Current Estimate,EPS,Equity COC,PVEPS,EPS1,EPS2,EPS3,EPS4,EPS5,Known Growth,Unknown Growth,% Present,% Known,% Unknown
286,L-3 Communications Holdings,LLL,Industrials,Aerospace & Defense,LLL,214.77,79310000.0,17238000000.0,0.09449999999999999,0.0934,1.29,11.41,12.62,0.10397999999999999,109.73264089247934,13.81259,15.117879755,16.5465193918475,18.11016547437709,19.821576111705728,67.88698895504696,37.15037015247371,51.09309535432292,31.609158148273483,17.297746497403597
287,Laboratory Corp. of America Holding,LH,Health Care,Health Care Services,LH,155.07,98680000.0,15768000000.0,0.0799,-0.0894,1.21,11.21,8.61,0.09902,113.20945263583116,9.297939,10.0408443261,10.843107787755391,11.709472099997049,12.645058920786814,44.9000008385637,-3.039453474394861,73.00538636475859,28.954666175639197,-1.9600525403977953
288,Lam Research,LRCX,Information Technology,Semiconductor Equipment,LRCX,206.23,149890000.0,31139000000.0,-0.0197,0.11380000000000001,1.41,13.89,16.17,0.11141999999999999,124.66343564889608,15.851451,15.5391774153,15.233055620218588,14.93296442450028,14.638785025337624,62.635632545154564,18.930931805949342,60.44873958633375,30.371736675146472,9.17952373851978
289,Lamb Weston Holdings Inc,LW,Consumer Staples,Packaged Foods & Meats,LW,68.57,146270000.0,10184000000.0,0.11349999999999999,0.049400000000000006,-0.18,3.21,3.1,0.01284,249.99999999999997,3.45185,3.8436349749999996,4.2798875446624995,4.765654780981693,5.306556598623115,21.04805729394859,-202.47805729394858,364.59092897768704,30.695723047905197,-295.2866520255923
290,Leggett & Platt,LEG,Consumer Discretionary,Home Furnishings,LEG,40.21,131220000.0,5151000000.0,0.052000000000000005,0.0264,1.14,2.53,2.26,0.09467999999999999,26.721588508660755,2.37752,2.5011510400000003,2.6312108940800005,2.7680338605721606,2.911971621321913,10.996080946112198,2.4923305452270483,66.45508209067584,27.346632544422274,6.198285364901886
291,Lennar Corp.,LEN,Consumer Discretionary,Homebuilding,LEN,51.98,285430000.0,16431000000.0,0.039900000000000005,-0.0138,1.25,5.38,5.47,0.1015,53.00492610837438,5.688253,5.9152142947,6.15123134505853,6.396665475726366,6.651892428207849,25.433160541464485,-26.458086649838865,101.97177011999688,48.92874286545688,-50.900512985453766
292,Lilly (Eli) & Co.,LLY,Health Care,Pharmaceuticals,LLY,116.61,970820000.0,113469000000.0,0.11230000000000001,0.4753,0.54,5.64,3.13,0.05748,98.12108559498955,3.481499,3.8724713377,4.30734986892371,4.791065259203843,5.329101887812435,19.308324273119283,-0.8194098681088349,84.14465791526416,16.55803470810332,-0.702692623367494
293,Lincoln National,LNC,Financials,Multi-line Insurance,LNC,66.98,204510000.0,13608000000.0,0.1047,-0.0542,1.93,9.2,7.39,0.14365999999999998,64.04009466796603,8.163733,9.018475845100001,9.962710266081972,11.005806030940754,12.15811392238025,38.130739282820954,-35.19083395078698,95.61077137647959,56.92854476384137,-52.53931614032096
295,LKQ Corporation,LKQ,Consumer Discretionary,Distributors,LKQ,30.12,313970000.0,9435000000.0,0.335,-0.030299999999999997,1.56,2.4,1.34,0.12072,19.880715705765407,1.7889000000000002,2.3881815,3.1882223025,4.2562767738375,5.682129493073062,13.083725474531064,-2.844441180296471,66.00503222365673,43.43866359406064,-9.443695817717366
296,Lockheed Martin Corp.,LMT,Industrials,Aerospace & Defense,LMT,329.52,282540000.0,93851000000.0,0.12369999999999999,0.0242,1.42,20.28,19.55,0.11204,181.00678329168156,21.968335,24.6858180395,27.739453730986146,31.17082415750913,35.026655105793004,112.16938530964678,36.34383139867164,54.93043921209079,34.04023589149271,11.029324896416497
297,Loews Corp.,L,Financials,Multi-line Insurance,L,51.04,306400000.0,15691000000.0,0.1971,-0.0292,0.62,3.5,1.99,0.06244,56.053811659192824,2.382229,2.8517663359000003,3.4138494807058906,4.086719213353022,4.8922115703049025,15.338085990797783,-20.351897649990608,109.8232987053151,30.051108916139857,-39.87440762145496
299,LyondellBasell,LYB,Materials,Specialty Chemicals,LYB,89.26,370330000.0,32691000000.000004,0.0666,-0.1574,1.22,10.35,11.12,0.09964,103.87394620634282,11.860591999999999,12.650507427199999,13.493031221851519,14.39166710122683,15.350152130168537,55.84477858281723,-70.45872478916004,116.37233498357922,62.56417049385752,-78.93650547743674
300,M&T Bank Corp.,MTB,Financials,Regional Banks,MTB,171.11,136640000.0,23170000000.0,0.152,-0.0638,1.22,14.55,13.9,0.09964,146.0256924929747,16.0128,18.446745599999996,21.250650931199996,24.480749872742393,28.201823853399237,88.06036304242119,-62.976055535395886,85.34024457540453,51.46418271428975,-36.80442728969428
301,Macerich,MAC,Real Estate,Retail REITs,MAC,41.36,141230000.0,6105000000.0,0.0021,-0.2824,1.13,0.28,0.42,0.09406,2.976823304273868,0.420882,0.42176585219999996,0.42265156048961994,0.4235391287666481,0.42442856093705805,1.7791491678609672,36.60402752786517,7.197348414588655,4.301617910688992,88.50103367472236
303,Marathon Oil Corp.,MRO,Energy,Oil & Gas Exploration & Production,MRO,17.36,819790000.0,13973000000.0,0.3115,-0.0603,1.7,0.67,1.29,0.1294,5.177743431221021,1.6918350000000002,2.2188416025000004,2.910010761678751,3.816479113941682,5.005312357934517,11.663451896424398,0.5188046723545803,29.82571100933768,67.1857828135046,2.9885061771577206
304,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,MPC,61.48,672650000.0,41079000000.0,0.0975,-0.1858,1.08,5.67,5.28,0.09096000000000001,62.33509234828495,5.7947999999999995,6.359792999999999,6.979872817499999,7.660410417206248,8.407300432883856,29.323470756399953,-30.17856310468491,101.39084637001457,47.695951132726016,-49.08679750274058
305,Marriott Int'l.,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",MAR,136.35,336690000.0,46029000000.0,0.182,-0.0052,1.14,6.09,5.38,0.09467999999999999,64.32192648922688,6.359159999999999,7.516527119999998,8.884535055839997,10.501520436002876,12.412797155355399,37.28937008700484,34.73870342376827,47.17413017178356,27.34827289109266,25.477596937123778
306,Marsh & McLennan,MMC,Financials,Insurance Brokers,MMC,93.29,507240000.0,47542000000.0,0.0904,0.1448,0.76,4.61,3.29,0.07112,64.82002249718785,3.587416,3.9117184064000003,4.265337750338561,4.650924282969167,5.0713678381495795,18.594537539200854,9.875439963611303,69.48228373586434,19.93197292228626,10.585743341849398
307,Martin Marietta Materials,MLM,Materials,Construction Materials,MLM,226.31,62480000.0,13870000000.0,0.1461,0.0999,0.91,8.95,7.43,0.08042,111.29072370057199,8.515523,9.759640910300002,11.185524447294833,12.81972956904461,14.69269205908203,48.07867992255477,66.94059637687324,49.176228934016166,21.244611339558467,29.579159726425367
308,Masco Corp.,MAS,Industrials,Building Products,MAS,39.33,293550000.0,11475000000.0,0.11900000000000001,0.038599999999999995,1.6,2.71,2.3,0.1232,21.996753246753247,2.5736999999999997,2.8799702999999996,3.2226867657,3.6061864908183,4.035322683225678,12.77262041286377,4.560626340382981,55.92868865180078,32.47551592388449,11.595795424314726
309,Mastercard Inc.,MA,Information Technology,IT Services,MA,251.09,1010000000.0,259053000000.0,0.2087,0.38630000000000003,1.01,7.56,5.6,0.08662,87.27776495035788,6.768719999999999,8.181351863999998,9.888799998016797,11.952592557602902,14.447098624374625,42.3515773757781,121.46065767386403,34.759554323293585,16.867090436010233,48.373355240696185
310,Mattel Inc.,MAT,Consumer Discretionary,Leisure Products,MAT,12.54,345420000.0,4206000000.0000005,0.1,-0.1547,2.04,-0.33,-1.17,0.15048,-2.192982456140351,-1.287,-1.4157,-1.5572700000000002,-1.7129970000000003,-1.8842967000000006,-5.894537432540597,20.627519888680947,-17.48789837432497,-47.00588064226951,164.49377901659446
311,McCormick & Co.,MKC,Consumer Staples,Packaged Foods & Meats,MKC,153.37,122450000.0,20294000000.0,0.08789999999999999,0.455,-0.0,5.26,4.93,0.024,219.16666666666666,5.363347,5.834785201300001,6.347662820494271,6.905622382415718,7.51262658983006,30.379038520619318,-96.17570518728597,142.90061072352262,19.80767980740648,-62.708290530929105
312,Maxim Integrated Products Inc,MXIM,Information Technology,Semiconductors,MXIM,59.59,273400000.0,16439000000.0,0.1336,0.0906,1.3,2.44,2.53,0.1046,23.326959847036328,2.8680079999999997,3.2511738687999996,3.6855306976716795,4.177917598880616,4.7360873900910665,15.11303146695758,21.150008686006096,39.14576245517088,25.36169066446984,35.49254688035928
313,McDonald's Corp.,MCD,Consumer Discretionary,Restaurants,MCD,198.85,763490000.0,150566000000.0,0.051,0.1773,0.33,8.12,7.54,0.04446,182.63607737291946,7.9245399999999995,8.32869154,8.753454808539999,9.199881003775538,9.669074934968089,40.12202047270163,-23.908097845621093,91.8461540723759,20.177028148202982,-12.023182220578875
314,McKesson Corp.,MCK,Health Care,Health Care Distributors,MCK,119.04,191820000.0,22928000000.0,0.06,-0.2422,1.56,13.55,-1.58,0.12072,112.24320742213388,-1.6748,-1.7752880000000002,-1.8818052800000002,-1.9947135968000003,-2.1143964126080004,-7.5144474121661675,14.311239990032295,94.29032881563666,-6.312539828768622,12.022211013131967
315,Medtronic plc,MDT,Health Care,Health Care Equipment,MDT,87.61,1340000000.0,118819000000.0,0.07769999999999999,0.09119999999999999,0.69,5.15,3.54,0.06678,77.11889787361486,3.8150580000000005,4.111488006600001,4.430950624712821,4.775235488253008,5.1462712856902675,19.469833147422293,-8.978731021037149,88.02522300378365,22.223300019886192,-10.248523023669843
316,Merck & Co.,MRK,Health Care,Pharmaceuticals,MRK,77.56,2580000000.0,203140000000.0,0.09939999999999999,0.3042,0.37,4.67,2.32,0.046939999999999996,99.48870899020027,2.5506079999999995,2.804138435199999,3.082869795658879,3.389307053347371,3.7262041744500993,14.096758311698695,-36.025467301898956,128.27321943037683,18.175294367842568,-46.44851379821939
317,MetLife Inc.,MET,Financials,Life & Health Insurance,MET,45.84,951820000.0,43636000000.0,0.0993,-0.0409,0.97,5.41,4.91,0.08413999999999999,64.29759923936298,5.397563,5.9335410058999996,6.522741627785869,7.170449871425006,7.882475543657508,27.753207852882078,-46.210807092245055,140.26526884677787,60.54364714852111,-100.80891599529899
318,Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services,MTD,741.93,24840000.0,18506000000.0,0.12210000000000001,0.3243,1.5,22.69,19.88,0.11699999999999999,193.93162393162396,22.307348,25.031075190800003,28.087369471596684,31.51683728407864,35.36504311646465,112.55991011093155,435.43846595744446,26.138803381939532,15.171230454481092,58.689966163579385
319,MGM Resorts International,MGM,Consumer Discretionary,Casinos & Gaming,MGM,27.44,536920000.0,14397000000.0,0.3837,-0.0898,1.1,1.24,0.81,0.0922,13.449023861171366,1.120797,1.5508468089,2.14590672947493,2.9692911415744603,4.10860815259658,9.505895272040531,4.485080866788104,49.012477628175525,34.642475481197266,16.345046890627202
320,Microchip Technology,MCHP,Information Technology,Semiconductors,MCHP,99.8,236970000.0,23623000000.0,0.1213,0.18,1.32,6.47,1.32,0.10584000000000002,61.130007558578974,1.480116,1.6596540707999998,1.8609701095880398,2.0867057838810688,2.339823195465842,7.610418148788414,31.05957429263261,61.252512583746466,7.6256694877639415,31.12181792848959
322,Microsoft Corp.,MSFT,Information Technology,Systems Software,MSFT,129.81,7660000000.0,998274000000.0,0.1452,0.3876,1.01,4.43,4.5,0.08662,51.14292311244516,5.1533999999999995,5.901673679999999,6.758596698335999,7.739944938934386,8.863784944067659,28.699067899186158,49.96800898836868,39.39829220587409,22.108518526451086,38.49318926767482
323,Mid-America Apartments,MAA,Real Estate,Residential REITs,MAA,107.69,113890000.0,12858000000.0,0.07,0.17600000000000002,0.6,2.1,1.93,0.0612,34.313725490196084,2.0651,2.2096570000000004,2.3643329900000007,2.5298362993000008,2.706924840251001,10.498174372978905,62.87810013682501,31.863427885779632,9.74851367163052,58.38805844258986
324,Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings,MHK,134.37,72420000.0,9877000000.0,0.032,-0.3779,1.75,11.22,49.9,0.1325,84.67924528301887,51.4968,53.1446976,54.8453279232,56.6003784167424,58.41159052607816,215.66352513485907,-165.97277041787794,63.019457678811385,160.49975823089906,-123.51921590971045
325,Molson Coors Brewing Company,TAP,Consumer Staples,Brewers,TAP,63.72,196190000.0,13861000000.0,0.013500000000000002,-0.1033,0.83,4.76,5.15,0.07546,63.07977736549165,5.219525000000001,5.289988587500001,5.361403433431251,5.433782379782573,5.507138441909638,23.258836940730788,-22.61861430622244,98.99525638024429,36.50162733950218,-35.49688371974645
326,Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats,MDLZ,50.56,1450000000.0,73234000000.0,0.0583,0.2792,0.85,2.48,2.28,0.07669999999999999,32.33376792698827,2.412924,2.5535974692,2.70247220165436,2.8600263310108094,3.0267658661087395,11.659256043936868,6.566976029074862,63.95128150116351,23.060237428672604,12.988481070163887
327,Monster Beverage,MNST,Consumer Staples,Soft Drinks,MNST,59.18,543570000.0,32381000000.0,0.1441,0.06709999999999999,1.5,2.01,1.76,0.11699999999999999,17.17948717948718,2.013616,2.3037780655999995,2.635752484852959,3.0155644179202703,3.450107250542581,10.5686086714291,31.431904149083724,29.029211185345012,17.858412760103242,53.11237605455175
328,Moody's Corp,MCO,Financials,Financial Exchanges & Data,MCO,194.5,189600000.0,37002000000.0,0.12300000000000001,0.2004,1.54,7.96,6.75,0.11948,66.62202879142953,7.58025,8.51262075,9.55967310225,10.735512893826751,12.055980979767442,38.14034770750491,89.73762350106557,34.25297110099205,19.609433268640053,46.137595630367905
329,Morgan Stanley,MS,Financials,Investment Banking & Brokerage,MS,48.5,1690000000.0,81130000000.0,0.1118,-0.061200000000000004,1.05,4.95,4.65,0.08910000000000001,55.55555555555555,5.1698699999999995,5.747861465999999,6.390472377898798,7.104927189747883,7.899258049561696,26.94959503425671,-34.00515058981226,114.54753722794958,55.566175328364345,-70.11371255631394
330,The Mosaic Company,MOS,Materials,Fertilizers & Agricultural Chemicals,MOS,26.14,385790000.0,10044000000.0,0.19699999999999998,-0.0304,1.6,2.22,1.22,0.1232,18.01948051948052,1.46034,1.7480269800000001,2.09238829506,2.5045887891868204,2.9979927806566242,8.326361956605766,-0.2058424760862856,68.93450849074415,31.852953162225575,-0.7874616529697229
331,Motorola Solutions Inc.,MSI,Information Technology,Communications Equipment,MSI,145.48,164430000.0,23771000000.0,0.1416,0.3226,0.91,7.66,5.62,0.08042,95.24993782641134,6.415792,7.3242681472,8.36138451684352,9.545356564428563,10.896979053951647,35.92358868839892,14.306473485189727,65.47287450261983,24.69314592273778,9.833979574642376
332,MSCI Inc,MSCI,Financials,Financial Exchanges & Data,MSCI,223.04,84670000.0,18950000000.0,0.14400000000000002,0.4936,1.42,6.14,5.66,0.11204,54.80185647982863,6.475040000000001,7.407445760000002,8.474117949440004,9.694390934159365,11.090383228678315,34.29038066750306,133.94776285266832,24.570416283997773,15.374094632130138,60.05548908387209
333,Mylan N.V.,MYL,Health Care,Pharmaceuticals,MYL,27.32,515950000.00000006,13975000000.0,0.051,-0.297,1.66,4.41,0.68,0.12692,34.74629687992436,0.71468,0.7511286799999999,0.7894362426799998,0.8296974910566798,0.8720120631005704,3.1232827778810694,-10.549579657805428,127.18263865272459,11.432221002492934,-38.61485965521752
334,"Nasdaq, Inc.",NDAQ,Financials,Financial Exchanges & Data,NDAQ,91.44,165420000.0,15187000000.0,0.057999999999999996,0.0354,0.78,4.96,3.15,0.07236000000000001,68.5461580983969,3.3327,3.5259966,3.7305044028000003,3.9468736581624007,4.17579233033582,16.223153573005582,6.670688328597514,74.96299004636582,17.741856488413802,7.295153465220379
335,National Oilwell Varco Inc.,NOV,Energy,Oil & Gas Equipment & Services,NOV,27.92,385920000.0,10082000000.0,0.41,-0.2824,1.52,0.03,-0.11,0.11824000000000001,0.2537212449255751,-0.1551,-0.21869099999999997,-0.30835430999999996,-0.4347795770999999,-0.6130392037109998,-1.3002467824396025,28.96652553751403,0.9087437139168161,-4.657044349712042,103.74830063579523
336,Nektar Therapeutics,NKTR,Health Care,Pharmaceuticals,NKTR,32.45,174100000.0,5650000000.0,-0.073,-0.6136,3.62,-2.85,3.78,0.24844,-11.471582675897602,3.50406,3.24826362,3.01114037574,2.7913271283109804,2.5875602479442787,10.537562707843945,33.38401996805366,-35.35156448658737,32.473228683648514,102.87833580293885
337,NetApp,NTAP,Information Technology,Internet Software & Services,NTAP,72.83,246980000.0,18000000000.0,0.1791,0.09480000000000001,1.32,4.55,3.78,0.10584000000000002,42.98941798941798,4.456998,5.2552463417999995,6.1964609616163795,7.306247119841873,8.614795979005553,25.43985015109437,4.4007318594876494,59.027073993434,34.93045469050442,6.042471316061581
338,Netflix Inc.,NFLX,Communication Services,Movies & Entertainment,NFLX,369.56,437220000.0,162458000000.0,0.4559,0.19,1.58,3.42,2.8,0.12196000000000001,28.041980977369626,4.0765199999999995,5.935005467999999,8.640774460861198,12.580103537567819,18.315372740344987,36.69675192796734,304.821267094663,7.587937270637955,9.929849531325724,82.48221319803632
339,Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties,NWL,14.39,423080000.0,6063000000.0,-0.313,-0.4781,1.1,1.56,-14.6,0.0922,16.919739696312366,-10.0302,-6.890747400000001,-4.733943463800001,-3.252219159630601,-2.234274562666223,-24.373949659577363,21.844209963264998,117.57984500564534,-169.38116511172595,151.8013201060806
340,Newmont Mining Corporation,NEM,Materials,Gold,NEM,30.74,819770000.0,25232000000.0,0.1349,-0.21710000000000002,-0.26,1.23,0.44,0.007880000000000002,156.0913705583756,0.499356,0.5667191244,0.6431695342815601,0.7299331044561426,0.8284010802472762,3.210538217276995,-128.5619087756526,507.77934469217826,10.444171168760558,-418.22351586093885
341,News Corp. Class A,NWSA,Communication Services,Publishing,NWSA,12.44,385630000.0,7297000000.0,0.1469,-0.22149999999999997,1.07,0.4,-2.23,0.09034,4.427717511622759,-2.557587,-2.9332965303,-3.36419779060107,-3.858398446040367,-4.425197177763697,-14.185275937007884,22.197558425385125,35.59258449857523,-114.02954933286081,178.43696483428556
343,NextEra Energy,NEE,Utilities,Multi-Utilities,NEE,191.76,478940000.0,92837000000.0,0.0747,0.17,0.18,8.4,6.01,0.03516,238.90784982935156,6.458946999999999,6.941430340899999,7.459955187365229,8.017213839861412,8.61609971369906,34.857908811192566,-82.00575864054414,124.58690541789296,18.177883193154237,-42.764788611047216
344,Nielsen Holdings,NLSN,Industrials,Research & Consulting Services,NLSN,25.49,354490000.0,9096000000.0,0.0471,-0.19399999999999998,1.17,1.69,-2.0,0.09653999999999999,17.50569712036462,-2.0942,-2.1928368199999997,-2.2961194342219997,-2.4042666595738558,-2.517507619239784,-9.568403421867371,17.552706301502752,68.6767246777741,-37.53787140787513,68.86114673010104
345,Nike,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",NKE,88.29,1260000000.0,137842000000.0,0.14029999999999998,0.2905,0.95,2.54,2.57,0.0829,30.639324487334136,2.9305709999999996,3.341730111299999,3.8105748459153883,4.345198496797317,4.95482984589798,16.29077126003491,41.35990425263096,34.703051860158716,18.451434205498817,46.845513934342456
346,NiSource Inc.,NI,Utilities,Multi-Utilities,NI,27.51,372970000.0,10357000000.0,0.0483,0.1259,0.33,1.31,-0.18,0.04446,29.464687359424204,-0.188694,-0.19780792020000001,-0.20736204274566003,-0.2173776294102754,-0.2278769689107917,-0.9504329648526132,-1.0042543945715892,107.10537026326502,-3.454863558170168,-3.650506705094835
347,Noble Energy Inc,NBL,Energy,Oil & Gas Exploration & Production,NBL,27.81,479020000.0,12979000000.0,0.21280000000000002,-0.1895,1.59,0.15,-0.14,0.12258,1.2236906510034264,-0.16979200000000003,-0.20592373760000005,-0.24974430896128008,-0.3028898979082405,-0.3673448681831141,-0.9968339717133441,27.583143320709915,4.400182132338822,-3.5844443427304715,99.18426221039164
349,Norfolk Southern Corp.,NSC,Industrials,Railroads,NSC,202.49,265970000.00000003,54159000000.0,0.1374,0.4138,1.4,10.68,10.11,0.11079999999999998,96.38989169675092,11.499113999999999,13.079092263599998,14.876159540618637,16.92014386149964,19.24497162806969,60.31596329093258,45.78414501231651,47.60229724764231,29.787131853885413,22.61057089847227
350,Northern Trust Corp.,NTRS,Financials,Asset Management & Custody Banks,NTRS,98.72,217680000.0,21345000000.0,0.11720000000000001,-0.0766,1.06,6.73,6.54,0.08972,75.01114578689257,7.306488,8.162808393599999,9.119489537329919,10.188293711104984,11.382361734046489,38.4220050068883,-14.71315079378087,75.98373762853785,38.92018335381716,-14.903920982355013
351,Northrop Grumman Corp.,NOC,Industrials,Aerospace & Defense,NOC,288.47,169800000.0,49048000000.0,0.1396,-0.1119,1.07,19.01,18.75,0.09034,210.4272747398716,21.3675,24.350403,27.7497192588,31.623580067328476,36.03823184472753,116.93710418233516,-38.89437892220673,72.9459821610121,40.53700703100328,-13.482989192015363
352,Norwegian Cruise Line,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NCLH,57.14,215390000.0,12182000000.0,0.075,0.0675,2.24,5.31,4.25,0.16288,32.600687622789785,4.56875,4.91140625,5.27976171875,5.67574384765625,6.101424636230468,19.642310316278028,4.897002060932188,57.05405604268425,34.37576184157863,8.570182115737115
353,NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders,NRG,40.81,278980000.0,11402000000.0,0.414,0.3177,0.27,3.57,0.87,0.04074,87.62886597938144,1.2301799999999998,1.7394745199999997,2.4596169712799996,3.4778983973899193,4.917748333909346,12.449401083243247,-59.26826706262469,214.7240038700844,30.505761046908223,-145.22976491699262
354,Nucor Corp.,NUE,Materials,Steel,NUE,56.79,304790000.0,17339000000.0,-0.1778,-0.07690000000000001,1.52,5.92,7.98,0.11824000000000001,50.06765899864681,6.561156,5.394582463200001,4.435425701243041,3.6468070115620286,2.9984047249063,19.457927644265357,-12.735586642912171,88.16280859067936,34.262947075656555,-22.425755666335924
356,O'Reilly Automotive,ORLY,Consumer Discretionary,Specialty Stores,ORLY,373.72,78260000.0,29461000000.0,0.1539,0.4644,0.94,17.78,16.56,0.08227999999999999,216.0913952357803,19.108583999999997,22.049395077599996,25.442796980042633,29.35844343527119,33.876707879959426,109.05289337531948,48.57571138890023,57.82173692491178,29.18037390969696,12.997889165391264
357,Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production,OXY,58.65,747880000.0,43916000000.0,0.13369999999999999,-0.2217,1.15,3.74,5.39,0.0953,39.24449108079749,6.110643,6.927635969099999,7.853860898168668,8.90392210025382,10.094376485057754,32.77197178700938,-13.366462867806867,66.91302827075445,55.87718974767158,-22.79021801842603
358,Omnicom Group,OMC,Communication Services,Advertising,OMC,80.67,220170000.0,17554000000.0,0.03,0.0975,0.18,5.91,5.87,0.03516,168.0887372013652,6.0461,6.227483,6.4143074900000006,6.606736714700001,6.804938816141001,29.930616406994375,-117.34935360835958,208.36585744559963,37.10253676334992,-145.46839420894952
359,ONEOK,OKE,Energy,Oil & Gas Storage & Transportation,OKE,69.01,412740000.0,28071000000.0,0.1409,0.13949999999999999,1.08,2.98,2.78,0.09096000000000001,32.761653474054526,3.171702,3.6185948118,4.12845482078262,4.710154105030892,5.373814818429745,17.378391423021835,18.869955102923644,47.47377695124551,25.182424899321596,27.343798149432896
360,Oracle Corp.,ORCL,Information Technology,Application Software,ORCL,55.06,3420000000.0,188125000000.0,0.10400000000000001,0.20600000000000002,1.04,3.44,2.79,0.08848,38.87884267631103,3.0801600000000002,3.4004966400000005,3.7541482905600008,4.144579712778241,4.575616002907179,15.846288818134301,0.3348685055546703,70.61177384001277,28.7800378099061,0.6081883500811301
361,PACCAR Inc.,PCAR,Industrials,Construction Machinery & Heavy Trucks,PCAR,72.0,346790000.0,24810000000.0,0.0408,0.1202,1.47,6.41,6.24,0.11513999999999999,55.67135660934515,6.494592,6.759571353599999,7.0353618648268785,7.322404628911815,7.621158737771417,28.422522820557468,-12.093879429902621,77.3213286240905,39.47572613966315,-16.797054763753643
362,Packaging Corporation of America,PKG,Materials,Paper Packaging,PKG,99.16,93750000.0,9296000000.0,0.021400000000000002,-0.145,1.39,8.27,8.29,0.11018,75.05899437284444,8.467406,8.6486084884,8.833688710051762,9.02272964844687,9.215816062923633,36.08591808605699,-11.984912458901434,75.69483095284836,36.39160758981141,-12.086438542659776
363,Parker-Hannifin,PH,Industrials,Industrial Machinery,PH,182.84,129370000.0,23442000000.0,0.09119999999999999,0.11449999999999999,1.73,11.65,10.48,0.13126,88.75514246533598,11.435776,12.4787187712,13.61677792313344,14.85862806972321,16.213734949681967,53.270144447676216,40.81471308698781,48.54251939692407,29.134841636226323,22.3226389668496
364,Paychex Inc.,PAYX,Information Technology,Internet Software & Services,PAYX,83.71,359390000.0,30157000000.0,0.095,0.3804,1.2,2.86,2.65,0.09839999999999999,29.065040650406505,2.90175,3.17741625,3.4792707937499996,3.8098015191562493,4.171732663476093,14.419206499806698,40.225752849786794,34.721109366152795,17.225189941233662,48.053700692613546
365,PayPal,PYPL,Information Technology,Data Processing & Outsourced Services,PYPL,112.44,1170000000.0,132291000000.0,0.2122,0.507,0.91,2.89,1.85,0.08042,35.936334245212635,2.24257,2.718443354,3.2952970337188,3.994559064273929,4.842204497712856,14.302605579433475,62.20106017535389,31.960453793323225,12.720211294408996,55.31933491226778
366,Pentair plc,PNR,Industrials,Industrial Machinery,PNR,38.95,171890000.0,6685000000.0,0.069,-0.14,1.12,2.31,1.68,0.09344,24.72174657534247,1.79592,1.91983848,2.0523073351199996,2.1939165412432793,2.3452967825890654,8.587057726117742,5.641195698539793,63.47046617546204,22.0463612994037,14.483172525134256
367,People's United Financial,PBCT,Financials,Thrifts & Mortgage Finance,PBCT,17.26,391050000.0,6773000000.0,0.1373,-0.050199999999999995,1.4,1.36,1.29,0.11079999999999998,12.274368231046934,1.467117,1.6685521641,1.89764437623093,2.158190949087437,2.454510566397142,7.694040449412767,-2.7084086804596987,71.11453204546311,44.5772911321713,-15.691823177634408
368,PepsiCo Inc.,PEP,Consumer Staples,Soft Drinks,PEP,127.05,1400000000.0,179584000000.0,0.0492,0.2551,0.56,5.52,8.86,0.05872,94.00544959128065,9.295911999999998,9.753270870399996,10.233131797223676,10.73660188164708,11.264842694224114,45.65115505201189,-12.606604643292542,73.99090876920948,35.93164506258315,-9.922553831792634
369,PerkinElmer,PKI,Health Care,Health Care Equipment,PKI,95.16,110800000.0,10619000000.0,0.1259,0.2944,1.5,4.03,2.22,0.11699999999999999,34.44444444444445,2.4994980000000004,2.814184798200001,3.1684906642933814,3.5674036389279187,4.016539757068944,12.698237419520346,48.0173181360352,36.196347671757515,13.34409144548166,50.459560882760826
370,Perrigo,PRGO,Health Care,Pharmaceuticals,PRGO,47.6,135870000.0,6458000000.0,0.017,-0.3421,2.0,4.2,0.95,0.148,28.378378378378383,0.9661499999999998,0.9825745499999997,0.9992783173499996,1.0162660487449495,1.0335425715736135,3.847054173774025,15.374567447847594,59.618441971383156,8.082046583558876,32.299511445057966
371,Pfizer Inc.,PFE,Health Care,Pharmaceuticals,PFE,40.4,5550000000.0,226874000000.0,0.0548,0.0814,0.59,2.89,1.87,0.060579999999999995,47.70551337074943,1.9724760000000001,2.0805676848,2.19458279392704,2.3148459310342417,2.441699488054918,9.755467299703602,-17.060980670453034,118.08295388799365,24.147196286395054,-42.2301501743887
372,Philip Morris International,PM,Consumer Staples,Tobacco,PM,84.83,1560000000.0,134172000000.0,0.061799999999999994,0.0354,0.98,5.13,4.95,0.08476,60.52383199622463,5.255910000000001,5.580725238000001,5.925614057708402,6.291817006474782,6.680651297474924,25.190383806063597,-0.884215802288228,71.34720263612475,29.695135926044557,-1.0423385621693129
